Make,Model,Style,Fuel_type,Transmission,Year,Distance,Engine_capacity(cm3),Price(euro)
BMW,X3,Hatchback,Hybrid,Manual,2015,77097,1901,18346
Peugeot,308,SUV,Hybrid,Manual,2021,7082,1461,8318
Renault,Clio,Hatchback,Diesel,Auto,2018,98850,2730,12328
Audi,A4,Hatchback,Diesel,Manual,2017,96506,2265,18083
BMW,X3,Sedan,Petrol,Auto,2021,11338,2135,26586
Renault,Clio,SUV,Petrol,Manual,2016,104230,1561,11343
Audi,A4,Hatchback,Diesel,Auto,2018,106327,1992,25822
Honda,Accord,SUV,Hybrid,Manual,2020,26319,2158,14610
Peugeot,3008,Sedan,Diesel,Manual,2017,75010,2893,9315
Volkswagen,Passat,Sedan,Diesel,Manual,2015,65043,3083,12946
Toyota,RAV4,Sedan,Petrol,Auto,2020,32869,2742,14993
Mercedes,S-Class,SUV,Diesel,Auto,2018,102647,2549,25584
Volkswagen,Golf,Hatchback,Petrol,Manual,2018,23131,2443,17929
Nissan,Micra,SUV,Diesel,Manual,2016,105864,2181,13747
BMW,5 Series,Hatchback,Diesel,Auto,2023,29604,1946,25545
Mercedes,E-Class,SUV,Petrol,Manual,2022,5212,2878,30637
Ford,Fiesta,SUV,Hybrid,Manual,2023,24954,1807,9500
Peugeot,3008,Sedan,Petrol,Manual,2020,69042,1439,8438
Toyota,Corolla,SUV,Petrol,Manual,2016,27453,2898,14873
Honda,Accord,Hatchback,Hybrid,Manual,2023,10410,1942,16265
Ford,Focus,Hatchback,Petrol,Manual,2021,49019,2730,11088
BMW,X3,Hatchback,Petrol,Manual,2020,7757,2604,22711
Audi,A4,SUV,Petrol,Auto,2018,13834,1464,24315
Honda,Accord,Hatchback,Diesel,Auto,2018,75678,1670,18144
Toyota,Camry,Sedan,Diesel,Manual,2016,30409,2749,14379
BMW,3 Series,Hatchback,Petrol,Manual,2015,110544,2891,19878
Renault,Clio,Hatchback,Petrol,Auto,2022,14186,2264,8911
Renault,Megane,Hatchback,Petrol,Manual,2016,18261,2735,14295
Nissan,Qashqai,Hatchback,Diesel,Manual,2022,36546,1837,15844
Nissan,Micra,Hatchback,Petrol,Auto,2019,64638,1984,12399
Toyota,Corolla,Hatchback,Hybrid,Auto,2015,147133,1524,17231
Renault,Megane,Hatchback,Petrol,Manual,2023,10158,1516,14041
Toyota,RAV4,Hatchback,Hybrid,Manual,2021,12856,2566,12715
Nissan,Micra,Hatchback,Diesel,Auto,2023,15366,1934,10693
Mercedes,C-Class,Hatchback,Diesel,Manual,2019,64929,2047,31435
BMW,5 Series,Hatchback,Petrol,Auto,2023,11984,2436,18900
Ford,Focus,SUV,Hybrid,Manual,2017,62433,3107,12311
Renault,Megane,Sedan,Petrol,Manual,2019,91951,1612,13896
Renault,Clio,Hatchback,Hybrid,Auto,2017,40697,1977,11691
Renault,Clio,Sedan,Petrol,Manual,2022,21457,3132,8035
Volkswagen,Passat,SUV,Hybrid,Auto,2017,88507,1936,14345
Renault,Megane,SUV,Petrol,Auto,2015,34327,1554,13937
Peugeot,3008,Sedan,Petrol,Auto,2023,9852,2280,8541
Toyota,RAV4,Sedan,Hybrid,Manual,2018,92416,1610,13683
Toyota,Camry,Hatchback,Petrol,Auto,2017,109842,3060,12093
Nissan,Qashqai,Sedan,Petrol,Auto,2018,39970,1726,15241
Toyota,Corolla,Hatchback,Petrol,Manual,2018,65332,2116,13246
Nissan,Micra,Sedan,Hybrid,Auto,2020,41517,3170,9641
Renault,Clio,Hatchback,Hybrid,Auto,2020,8617,1636,13488
Audi,A5,Sedan,Hybrid,Manual,2016,118918,2107,22742
Nissan,Qashqai,SUV,Hybrid,Manual,2018,38386,1490,14628
Volkswagen,Tiguan,Sedan,Hybrid,Manual,2021,9585,2760,22544
Ford,Focus,SUV,Diesel,Manual,2023,15134,2765,11340
Toyota,Corolla,SUV,Hybrid,Auto,2021,48576,2176,16595
Nissan,Qashqai,Sedan,Hybrid,Auto,2023,32319,1400,11470
Honda,Accord,SUV,Petrol,Manual,2022,33977,2783,13251
Ford,Fiesta,Hatchback,Hybrid,Auto,2023,26753,2696,12858
Toyota,Camry,SUV,Petrol,Auto,2018,24313,1450,10915
Nissan,Micra,Hatchback,Petrol,Manual,2018,99155,2826,12095
BMW,X3,SUV,Diesel,Manual,2021,19341,1760,26014
Renault,Clio,SUV,Hybrid,Auto,2018,20906,2334,8580
Honda,Accord,Hatchback,Hybrid,Auto,2023,18983,3101,19905
Honda,Accord,SUV,Petrol,Auto,2019,37406,3120,17321
Honda,Accord,SUV,Petrol,Manual,2016,79901,1880,13808
Mercedes,C-Class,Hatchback,Diesel,Auto,2018,55205,2821,19792
Volkswagen,Passat,Sedan,Hybrid,Manual,2023,20267,2251,13272
Peugeot,3008,Sedan,Diesel,Manual,2021,36259,1412,13922
Honda,Accord,Sedan,Hybrid,Auto,2018,40774,2292,15862
Mercedes,E-Class,SUV,Hybrid,Manual,2022,13364,2674,25511
BMW,3 Series,Sedan,Diesel,Auto,2021,13893,3175,21494
Toyota,Camry,Sedan,Diesel,Auto,2022,26420,2091,17351
BMW,5 Series,Hatchback,Hybrid,Manual,2022,6270,2934,22520
Audi,Q5,Hatchback,Petrol,Manual,2015,69823,1808,24070
Honda,Accord,Hatchback,Hybrid,Manual,2016,62138,2352,17914
Mercedes,E-Class,SUV,Hybrid,Auto,2019,19168,2585,17885
Nissan,Qashqai,Hatchback,Hybrid,Auto,2018,14961,2612,14486
Peugeot,3008,Hatchback,Hybrid,Auto,2016,15766,2111,11216
Audi,A5,SUV,Diesel,Manual,2021,58892,2403,15266
Nissan,Micra,SUV,Hybrid,Auto,2017,101180,2468,16630
Honda,Accord,Hatchback,Petrol,Auto,2021,59115,2897,16887
Honda,Accord,Sedan,Petrol,Auto,2018,103366,2351,16670
Volkswagen,Passat,Sedan,Diesel,Auto,2017,68904,1834,16432
Renault,Clio,Sedan,Hybrid,Manual,2015,140430,1791,8265
Honda,Accord,Hatchback,Diesel,Manual,2022,34371,3023,11365
Ford,Focus,SUV,Hybrid,Auto,2020,67031,2533,12222
Volkswagen,Golf,SUV,Petrol,Auto,2022,22754,2027,15315
BMW,3 Series,SUV,Diesel,Auto,2023,29975,2813,17843
Peugeot,308,Sedan,Petrol,Auto,2023,24555,1979,14171
Mercedes,E-Class,Hatchback,Petrol,Auto,2019,6854,2850,25512
Mercedes,E-Class,Sedan,Diesel,Auto,2022,11723,3187,17683
Volkswagen,Passat,Hatchback,Petrol,Auto,2017,11734,1917,22763
Honda,Accord,Hatchback,Petrol,Manual,2016,19053,1710,12632
Renault,Megane,SUV,Diesel,Auto,2021,44735,2620,12918
Honda,Civic,SUV,Hybrid,Manual,2019,82139,2278,14131
Toyota,Corolla,Hatchback,Hybrid,Manual,2018,39687,2752,11230
Mercedes,E-Class,Sedan,Petrol,Manual,2015,112090,2322,27840
Ford,Focus,SUV,Hybrid,Manual,2019,64510,1545,13349
Nissan,Micra,Hatchback,Petrol,Manual,2016,63932,2726,10262
Mercedes,E-Class,Sedan,Petrol,Auto,2019,82993,2933,29863
Ford,Focus,Hatchback,Hybrid,Manual,2021,22841,2424,12287
Nissan,Qashqai,SUV,Diesel,Manual,2020,37816,1452,9812
Mercedes,E-Class,Hatchback,Hybrid,Auto,2022,39010,2734,24133
Honda,Accord,SUV,Petrol,Manual,2016,128210,2112,15120
Volkswagen,Passat,SUV,Petrol,Auto,2021,50460,2414,15712
BMW,5 Series,SUV,Petrol,Auto,2020,38082,2062,16930
Nissan,Micra,SUV,Diesel,Manual,2015,54173,2461,11921
Toyota,Camry,SUV,Diesel,Manual,2019,76987,1668,18849
Audi,A4,SUV,Diesel,Manual,2018,98032,1724,17729
Toyota,Corolla,Sedan,Hybrid,Auto,2016,125965,1640,16329
Renault,Clio,Hatchback,Diesel,Manual,2019,59459,3109,10884
Nissan,Qashqai,Hatchback,Diesel,Auto,2018,83561,2440,14921
Volkswagen,Tiguan,Sedan,Hybrid,Auto,2023,13754,3080,12627
Mercedes,S-Class,SUV,Diesel,Auto,2022,40296,2391,22676
Volkswagen,Golf,Sedan,Petrol,Auto,2018,96422,1889,18775
Honda,Civic,Sedan,Petrol,Manual,2021,30302,2759,18806
Renault,Megane,SUV,Diesel,Manual,2020,18154,3190,13277
Mercedes,C-Class,Sedan,Diesel,Auto,2021,62077,2740,32049
Peugeot,3008,Sedan,Hybrid,Auto,2021,47587,1564,13321
Renault,Clio,Hatchback,Hybrid,Manual,2015,22936,1880,11865
Nissan,Micra,Hatchback,Petrol,Auto,2016,31347,2308,10397
Audi,A4,SUV,Diesel,Manual,2019,51984,2167,19168
Mercedes,S-Class,SUV,Petrol,Auto,2017,15350,2648,30562
Peugeot,3008,Sedan,Hybrid,Manual,2017,35433,2344,11910
Honda,Accord,Sedan,Hybrid,Auto,2019,93815,2519,12716
Nissan,Micra,Sedan,Petrol,Manual,2019,64878,3131,11456
Nissan,Micra,Sedan,Petrol,Manual,2020,43780,2832,11402
