Make,Model,Style,Fuel_type,Transmission,Year,Distance,Engine_capacity(cm3),Price(euro)
1.0,24.0,0.0,1.0,1.0,2015,77097,1901,18346
6.0,2.0,1.0,1.0,1.0,2021,7082,1461,8318
7.0,10.0,0.0,0.0,0.0,2018,98850,2730,12328
0.0,4.0,0.0,0.0,1.0,2017,96506,2265,18083
1.0,24.0,2.0,2.0,0.0,2021,11338,2135,26586
7.0,10.0,1.0,2.0,1.0,2016,104230,1561,11343
0.0,4.0,0.0,0.0,0.0,2018,106327,1992,25822
3.0,6.0,1.0,1.0,1.0,2020,26319,2158,14610
6.0,1.0,2.0,0.0,1.0,2017,75010,2893,9315
9.0,18.0,2.0,0.0,1.0,2015,65043,3083,12946
8.0,21.0,2.0,2.0,0.0,2020,32869,2742,14993
4.0,22.0,1.0,0.0,0.0,2018,102647,2549,25584
9.0,15.0,0.0,2.0,1.0,2018,23131,2443,17929
5.0,17.0,1.0,0.0,1.0,2016,105864,2181,13747
1.0,3.0,0.0,0.0,0.0,2023,29604,1946,25545
4.0,12.0,1.0,2.0,1.0,2022,5212,2878,30637
2.0,13.0,1.0,1.0,1.0,2023,24954,1807,9500
6.0,1.0,2.0,2.0,1.0,2020,69042,1439,8438
8.0,11.0,1.0,2.0,1.0,2016,27453,2898,14873
3.0,6.0,0.0,1.0,1.0,2023,10410,1942,16265
2.0,14.0,0.0,2.0,1.0,2021,49019,2730,11088
1.0,24.0,0.0,2.0,1.0,2020,7757,2604,22711
0.0,4.0,1.0,2.0,0.0,2018,13834,1464,24315
3.0,6.0,0.0,0.0,0.0,2018,75678,1670,18144
8.0,8.0,2.0,0.0,1.0,2016,30409,2749,14379
1.0,0.0,0.0,2.0,1.0,2015,110544,2891,19878
7.0,10.0,0.0,2.0,0.0,2022,14186,2264,8911
7.0,16.0,0.0,2.0,1.0,2016,18261,2735,14295
5.0,20.0,0.0,0.0,1.0,2022,36546,1837,15844
5.0,17.0,0.0,2.0,0.0,2019,64638,1984,12399
8.0,11.0,0.0,1.0,0.0,2015,147133,1524,17231
7.0,16.0,0.0,2.0,1.0,2023,10158,1516,14041
8.0,21.0,0.0,1.0,1.0,2021,12856,2566,12715
5.0,17.0,0.0,0.0,0.0,2023,15366,1934,10693
4.0,7.0,0.0,0.0,1.0,2019,64929,2047,31435
1.0,3.0,0.0,2.0,0.0,2023,11984,2436,18900
2.0,14.0,1.0,1.0,1.0,2017,62433,3107,12311
7.0,16.0,2.0,2.0,1.0,2019,91951,1612,13896
7.0,10.0,0.0,1.0,0.0,2017,40697,1977,11691
7.0,10.0,2.0,2.0,1.0,2022,21457,3132,8035
9.0,18.0,1.0,1.0,0.0,2017,88507,1936,14345
7.0,16.0,1.0,2.0,0.0,2015,34327,1554,13937
6.0,1.0,2.0,2.0,0.0,2023,9852,2280,8541
8.0,21.0,2.0,1.0,1.0,2018,92416,1610,13683
8.0,8.0,0.0,2.0,0.0,2017,109842,3060,12093
5.0,20.0,2.0,2.0,0.0,2018,39970,1726,15241
8.0,11.0,0.0,2.0,1.0,2018,65332,2116,13246
5.0,17.0,2.0,1.0,0.0,2020,41517,3170,9641
7.0,10.0,0.0,1.0,0.0,2020,8617,1636,13488
0.0,5.0,2.0,1.0,1.0,2016,118918,2107,22742
5.0,20.0,1.0,1.0,1.0,2018,38386,1490,14628
9.0,23.0,2.0,1.0,1.0,2021,9585,2760,22544
2.0,14.0,1.0,0.0,1.0,2023,15134,2765,11340
8.0,11.0,1.0,1.0,0.0,2021,48576,2176,16595
5.0,20.0,2.0,1.0,0.0,2023,32319,1400,11470
3.0,6.0,1.0,2.0,1.0,2022,33977,2783,13251
2.0,13.0,0.0,1.0,0.0,2023,26753,2696,12858
8.0,8.0,1.0,2.0,0.0,2018,24313,1450,10915
5.0,17.0,0.0,2.0,1.0,2018,99155,2826,12095
1.0,24.0,1.0,0.0,1.0,2021,19341,1760,26014
7.0,10.0,1.0,1.0,0.0,2018,20906,2334,8580
3.0,6.0,0.0,1.0,0.0,2023,18983,3101,19905
3.0,6.0,1.0,2.0,0.0,2019,37406,3120,17321
3.0,6.0,1.0,2.0,1.0,2016,79901,1880,13808
4.0,7.0,0.0,0.0,0.0,2018,55205,2821,19792
9.0,18.0,2.0,1.0,1.0,2023,20267,2251,13272
6.0,1.0,2.0,0.0,1.0,2021,36259,1412,13922
3.0,6.0,2.0,1.0,0.0,2018,40774,2292,15862
4.0,12.0,1.0,1.0,1.0,2022,13364,2674,25511
1.0,0.0,2.0,0.0,0.0,2021,13893,3175,21494
8.0,8.0,2.0,0.0,0.0,2022,26420,2091,17351
1.0,3.0,0.0,1.0,1.0,2022,6270,2934,22520
0.0,19.0,0.0,2.0,1.0,2015,69823,1808,24070
3.0,6.0,0.0,1.0,1.0,2016,62138,2352,17914
4.0,12.0,1.0,1.0,0.0,2019,19168,2585,17885
5.0,20.0,0.0,1.0,0.0,2018,14961,2612,14486
6.0,1.0,0.0,1.0,0.0,2016,15766,2111,11216
0.0,5.0,1.0,0.0,1.0,2021,58892,2403,15266
5.0,17.0,1.0,1.0,0.0,2017,101180,2468,16630
3.0,6.0,0.0,2.0,0.0,2021,59115,2897,16887
3.0,6.0,2.0,2.0,0.0,2018,103366,2351,16670
9.0,18.0,2.0,0.0,0.0,2017,68904,1834,16432
7.0,10.0,2.0,1.0,1.0,2015,140430,1791,8265
3.0,6.0,0.0,0.0,1.0,2022,34371,3023,11365
2.0,14.0,1.0,1.0,0.0,2020,67031,2533,12222
9.0,15.0,1.0,2.0,0.0,2022,22754,2027,15315
1.0,0.0,1.0,0.0,0.0,2023,29975,2813,17843
6.0,2.0,2.0,2.0,0.0,2023,24555,1979,14171
4.0,12.0,0.0,2.0,0.0,2019,6854,2850,25512
4.0,12.0,2.0,0.0,0.0,2022,11723,3187,17683
9.0,18.0,0.0,2.0,0.0,2017,11734,1917,22763
3.0,6.0,0.0,2.0,1.0,2016,19053,1710,12632
7.0,16.0,1.0,0.0,0.0,2021,44735,2620,12918
3.0,9.0,1.0,1.0,1.0,2019,82139,2278,14131
8.0,11.0,0.0,1.0,1.0,2018,39687,2752,11230
4.0,12.0,2.0,2.0,1.0,2015,112090,2322,27840
2.0,14.0,1.0,1.0,1.0,2019,64510,1545,13349
5.0,17.0,0.0,2.0,1.0,2016,63932,2726,10262
4.0,12.0,2.0,2.0,0.0,2019,82993,2933,29863
2.0,14.0,0.0,1.0,1.0,2021,22841,2424,12287
5.0,20.0,1.0,0.0,1.0,2020,37816,1452,9812
4.0,12.0,0.0,1.0,0.0,2022,39010,2734,24133
3.0,6.0,1.0,2.0,1.0,2016,128210,2112,15120
9.0,18.0,1.0,2.0,0.0,2021,50460,2414,15712
1.0,3.0,1.0,2.0,0.0,2020,38082,2062,16930
5.0,17.0,1.0,0.0,1.0,2015,54173,2461,11921
8.0,8.0,1.0,0.0,1.0,2019,76987,1668,18849
0.0,4.0,1.0,0.0,1.0,2018,98032,1724,17729
8.0,11.0,2.0,1.0,0.0,2016,125965,1640,16329
