Make,Model,Style,Fuel_type,Transmission,Year,Distance,Engine_capacity(cm3),Price(euro),Distance_by_year,age,engine_per_age,eng_cap_diff,eng_cap_diff_max
1.0,24.0,0.0,1.0,1.0,2015,77097,1901,18346,7709.7,9,190.1,481.9433962264152,1208.0
6.0,2.0,1.0,1.0,1.0,2021,7082,1461,8318,1770.5,3,365.25,840.2962962962961,1729.0
7.0,10.0,0.0,0.0,0.0,2018,98850,2730,12328,14121.42857142857,6,390.0,347.0566037735848,379.0
0.0,4.0,0.0,0.0,1.0,2017,96506,2265,18083,12063.25,7,283.125,117.94339622641519,844.0
1.0,24.0,2.0,2.0,0.0,2021,11338,2135,26586,2834.5,3,533.75,194.11627906976764,1052.0
7.0,10.0,1.0,2.0,1.0,2016,104230,1561,11343,11581.111111111111,8,173.44444444444446,740.2962962962961,1629.0
0.0,4.0,0.0,0.0,0.0,2018,106327,1992,25822,15189.57142857143,6,284.57142857142856,390.9433962264152,1117.0
3.0,6.0,1.0,1.0,1.0,2020,26319,2158,14610,5263.8,4,431.6,143.29629629629608,1032.0
6.0,1.0,2.0,0.0,1.0,2017,75010,2893,9315,9376.25,7,361.625,563.8837209302324,294.0
9.0,18.0,2.0,0.0,1.0,2015,65043,3083,12946,6504.3,9,308.3,753.8837209302324,104.0
8.0,21.0,2.0,2.0,0.0,2020,32869,2742,14993,6573.8,4,548.4,412.88372093023236,445.0
4.0,22.0,1.0,0.0,0.0,2018,102647,2549,25584,14663.857142857143,6,364.14285714285717,247.70370370370392,641.0
9.0,15.0,0.0,2.0,1.0,2018,23131,2443,17929,3304.4285714285716,6,349.0,60.05660377358481,666.0
5.0,17.0,1.0,0.0,1.0,2016,105864,2181,13747,11762.666666666666,8,242.33333333333334,120.29629629629608,1009.0
1.0,3.0,0.0,0.0,0.0,2023,29604,1946,25545,14802.0,1,973.0,436.9433962264152,1163.0
4.0,12.0,1.0,2.0,1.0,2022,5212,2878,30637,1737.3333333333333,2,959.3333333333334,576.7037037037039,312.0
2.0,13.0,1.0,1.0,1.0,2023,24954,1807,9500,12477.0,1,903.5,494.2962962962961,1383.0
6.0,1.0,2.0,2.0,1.0,2020,69042,1439,8438,13808.4,4,287.8,890.1162790697676,1748.0
8.0,11.0,1.0,2.0,1.0,2016,27453,2898,14873,3050.3333333333335,8,322.0,596.7037037037039,292.0
3.0,6.0,0.0,1.0,1.0,2023,10410,1942,16265,5205.0,1,971.0,440.9433962264152,1167.0
2.0,14.0,0.0,2.0,1.0,2021,49019,2730,11088,12254.75,3,682.5,347.0566037735848,379.0
1.0,24.0,0.0,2.0,1.0,2020,7757,2604,22711,1551.4,4,520.8,221.0566037735848,505.0
0.0,4.0,1.0,2.0,0.0,2018,13834,1464,24315,1976.2857142857142,6,209.14285714285714,837.2962962962961,1726.0
3.0,6.0,0.0,0.0,0.0,2018,75678,1670,18144,10811.142857142857,6,238.57142857142858,712.9433962264152,1439.0
8.0,8.0,2.0,0.0,1.0,2016,30409,2749,14379,3378.777777777778,8,305.44444444444446,419.88372093023236,438.0
1.0,0.0,0.0,2.0,1.0,2015,110544,2891,19878,11054.4,9,289.1,508.0566037735848,218.0
7.0,10.0,0.0,2.0,0.0,2022,14186,2264,8911,4728.666666666667,2,754.6666666666666,118.94339622641519,845.0
7.0,16.0,0.0,2.0,1.0,2016,18261,2735,14295,2029.0,8,303.8888888888889,352.0566037735848,374.0
5.0,20.0,0.0,0.0,1.0,2022,36546,1837,15844,12182.0,2,612.3333333333334,545.9433962264152,1272.0
5.0,17.0,0.0,2.0,0.0,2019,64638,1984,12399,10773.0,5,330.6666666666667,398.9433962264152,1125.0
