Make,Model,Style,Fuel_type,Transmission,Year,Distance,Engine_capacity(cm3),Price(euro),Distance_by_year,age,engine_per_age,eng_cap_diff,eng_cap_diff_max
9.0,18.0,2.0,0.0,0.0,2017,68904,1834,16432,8613.0,7,229.25,495.1162790697677,1353.0
6.0,2.0,1.0,2.0,0.0,2021,58897,2707,13905,14724.25,3,676.75,405.7037037037039,483.0
6.0,1.0,1.0,0.0,0.0,2017,121052,2249,12022,15131.5,7,281.125,52.29629629629608,941.0
5.0,20.0,0.0,1.0,0.0,2018,14961,2612,14486,2137.285714285714,6,373.1428571428572,229.0566037735848,497.0
7.0,10.0,0.0,0.0,1.0,2019,59459,3109,10884,9909.833333333334,5,518.1666666666666,726.0566037735848,0.0
2.0,14.0,1.0,1.0,1.0,2019,64510,1545,13349,10751.666666666666,5,257.5,756.2962962962961,1645.0
5.0,17.0,1.0,0.0,1.0,2015,54173,2461,11921,5417.3,9,246.1,159.70370370370392,729.0
6.0,1.0,2.0,0.0,1.0,2021,36259,1412,13922,9064.75,3,353.0,917.1162790697676,1775.0
1.0,24.0,0.0,1.0,1.0,2015,77097,1901,18346,7709.7,9,190.1,481.9433962264152,1208.0
6.0,1.0,2.0,1.0,1.0,2017,35433,2344,11910,4429.125,7,293.0,14.883720930232355,843.0
3.0,6.0,2.0,1.0,0.0,2018,40774,2292,15862,5824.857142857143,6,327.42857142857144,37.11627906976764,895.0
5.0,20.0,0.0,0.0,1.0,2022,36546,1837,15844,12182.0,2,612.3333333333334,545.9433962264152,1272.0
9.0,18.0,1.0,1.0,0.0,2017,88507,1936,14345,11063.375,7,242.0,365.2962962962961,1254.0
8.0,8.0,0.0,2.0,0.0,2017,109842,3060,12093,13730.25,7,382.5,677.0566037735848,49.0
7.0,10.0,1.0,1.0,0.0,2018,20906,2334,8580,2986.5714285714284,6,333.42857142857144,32.70370370370392,856.0
3.0,6.0,2.0,1.0,0.0,2019,93815,2519,12716,15635.833333333334,5,419.8333333333333,189.8837209302324,668.0
8.0,8.0,2.0,0.0,1.0,2016,30409,2749,14379,3378.777777777778,8,305.44444444444446,419.8837209302324,438.0
1.0,0.0,0.0,2.0,1.0,2015,110544,2891,19878,11054.4,9,289.1,508.0566037735848,218.0
3.0,6.0,0.0,0.0,0.0,2018,75678,1670,18144,10811.142857142857,6,238.57142857142856,712.9433962264152,1439.0
8.0,11.0,0.0,1.0,1.0,2018,39687,2752,11230,5669.571428571428,6,393.1428571428572,369.0566037735848,357.0
7.0,10.0,2.0,2.0,1.0,2022,21457,3132,8035,7152.333333333333,2,1044.0,802.8837209302324,55.0
